,Year,FTAs in India (in Million),Percentage (%) Change over Previous year (FTAs),NRIs arrivals in India (in Million),Percentage (%) Change over Previous year (NRIs),International Tourist Arrivals in India (in Million),Percentage (%) Change over Previous year (ITAs)
0,1981,1.28,2.0,0.0,0.0,0.0,0.0
1,1991,1.68,-1.7,0.0,0.0,0.0,0.0
2,2001,2.54,-4.2,0.0,0.0,0.0,0.0
3,2011,6.31,9.2,0.0,0.0,0.0,0.0
4,2012,6.58,4.3,0.0,0.0,0.0,0.0
5,2013,6.97,5.9,0.0,0.0,0.0,0.0
6,2014,7.68,10.2,5.43,0.0,13.11,0.0
7,2015,8.03,4.6,5.74,5.7,13.76,5.0
8,2016,8.8,9.6,6.22,8.4,15.03,9.2
9,2017,10.04,14.1,6.77,8.8,16.81,11.8
10,2018,10.56,5.2,6.87,1.5,17.42,3.6
11,2019,10.93,3.5,6.98,1.6,17.91,2.8
12,2020,2.74,-74.9,3.59,-48.6,6.33,-64.7
13,2021,1.52,-44.5,5.48,52.6,7.0,10.6
14,2022,6.44,321.5,7.89,43.9,14.33,104.43
